Population1,Population2,Probability,Strength,Delay,Receptor
RS1,FS10,0.05,1,0,Glutamate
FS10,RS1,0.05,1,0,GABA
RS1,RS1,0.05,1,0,Glutamate
FS10,FS10,0.05,1,0,GABA
RS2,FS2,0.05,1,0,Glutamate
FS2,RS2,0.05,1,0,GABA
RS2,RS2,0.05,1,0,Glutamate
FS2,FS2,0.05,1,0,GABA
RS1,FS2,0.05,1,2,Glutamate
FS2,RS1,0.05,1,2,GABA
RS2,FS10,0.05,1,2,Glutamate
FS10,RS2,0.05,1,2,GABA
FS20,RS1,0.05,1,2,GABA
RS1,FS20,0.05,1,2,Glutamate
FS20,FS10,0.05,1,0,GABA
FS10,FS20,0.05,1,0,GABA
FS20,RS2,0.05,1,0,GABA
RS2,FS20,0.05,1,0,Glutamate
FS3,FS20,0.05,1,0,GABA
RS1,FS3,0.05,1,10,Glutamate
RS10,FS10,0.05,1,20,Glutamate
RS2,RS10,0.05,1,1,Glutamate
